X,Y,Nome,Mapa_EA,icon_url
-7.86649925625712,38.7284287181804,Casao Nozes,s,./0.png
-7.87849722104082,38.7299780951282,Adega,s,./0.png
-7.87882303852355,38.7297145096431,EscritÃ³rios,s,./0.png
-7.878509288355,38.72973333721,RefeitÃ³rio,n,./0.png
-7.8790885194354,38.7294415093654,Loja,s,./0.png
-7.87935400034725,38.7291873357552,Monte,s,./0.png
-7.87893164435112,38.7286978136619,Galinheiro,n,./0.png
-7.8797692424382,38.7249042122959,Casa da Horta,n,./0.png
-7.87959116575332,38.7242122927703,Armazem de fitofarmacos,n,./0.png
-7.87497275880288,38.7236680274324,Casao da Branca,n,./0.png
-7.8689632363437,38.7259839769216,Vinha do Alto,s,./0.png
-7.86147667462951,38.7202871712805,Vinha da Ribeira,s,./0.png
-7.85807369203215,38.7214621569668,Vinha do Taco,s,./0.png
-7.85778407649195,38.7193381302767,Vinha da Sobreira,s,./0.png
-7.85318642979126,38.72205811588,Barragem,s,./0.png
-7.87798789614634,38.7197510378738,Montado novo,s,./0.png
-7.85586524101005,38.7243717561231,Taco,s,./0.png
-7.866692807596,38.7221940387362,Pinhal,s,./0.png
-7.8700058160156,38.7242135604773,Marco geodÃ©sico,n,./0.png
-7.858917878005,38.7318691956795,Charca do Brejo,n,./0.png
-7.8447610190416,38.7250805766495,Charca da Fonte Boa,n,./0.png
-7.85598543839851,38.7158247202523,Charca do CodeÃ§alinho,n,./0.png
-7.85396991516524,38.7215495487464,EstaÃ§Ã£o ElevatÃ³ria,n,./0.png
-7.86489407014974,38.7206817690956,PT,n,./0.png
-7.87675130540237,38.7271239869078,Bebedouro,n,./0.png
-7.86680063067477,38.728919641936,Tanque de Gas,n,./0.png
-7.8651002453689,38.7276725577678,Campo de Tiro,n,./0.png
-7.8642721699573,38.7279944607809,Charca,n,./0.png
-7.88265309116155,38.7249491594556,ETAR,n,./0.png
-7.86549613656247,38.7207775440606,Charca dos Pinheiros,n,./0.png
-7.86959222150607,38.7235307418672,Estacao Meteo,s,./0.png
-7.8794430430573,38.7236156454145,Charca da Horta,n,./0.png
-7.85105902600414,38.7162427533177,Charca do Codecalinhoo,s,./0.png
-7.85155417557377,38.7062355392352,Bico da Anta,s,./0.png
-7.87327189477657,38.7222883661244,Arrife dos Pinheiros,s,./0.png
-7.87076991383867,38.7236621814252,Charca do Montado Novo,n,./0.png
-7.85223689173532,38.719661158626,PoÃ§o do CodeÃ§alinho,n,./0.png
-7.84681831587553,38.7233989328295,Curral das Pedras,s,./0.png
-7.84263600769689,38.726818403053,Currais Antigos,s,./0.png
-7.84858868457569,38.731986869317,Raposeira,s,./0.png
-7.84559154920169,38.7339039739241,Ponto de ObservaÃ§Ã£o,n,./0.png
-7.86223919824478,38.7354778060394,Pedra Alta,s,./0.png
-7.86116541091785,38.7306884652398,PoÃ§o do Brejo,n,./0.png
-7.85128407425486,38.7296766713717,Charca dos Porcos,n,./0.png
-7.87212267776297,38.7263502818146,Pomar do Meio,s,./0.png
-7.87625235477491,38.7298500694119,Pomar do Monte,s,./0.png
-7.87583641608306,38.7255158700589,Chandler Velho,n,./0.png
-7.87755364868227,38.726331739437,Olival,s,./0.png
-7.88086927425445,38.7236291364407,Nascente,n,./0.png
-7.87960244383877,38.725046740948,PoÃ§o da Horta,n,./0.png
-7.86910652804838,38.7338632571942,PoÃ§o da Malhada das Cabras,n,./0.png
-7.84520234011565,38.7250850385243,Fonte Boa,s,./0.png
-7.86868949500671,38.7284247047894,Colmeias,s,./0.png
-7.87322918081178,38.7288468251274,Charca do Pereiro Bravo,n,./0.png
-7.87217916396787,38.7280539406042,Casa dos Carneiros,n,./0.png
-7.88197630378799,38.7269738667812,Vinha Leonilde,s,./0.png
-7.85578972407816,38.7184660431346,Fire Pit,s,./0.png
-7.85830370720778,38.7327272914501,Heliporto,s,./0.png
-7.86312295187207,38.7228473358042,Prado do meio,s,./0.png
-7.85485390569005,38.7203655159792,Prado da sobreira,s,./0.png
